KundeNr,Alter,Geschlecht,Zeit,Einkommen,Preis,Niederlassung
K1814,30,0,"29,0","39919,0953348874",,Bayern
K1544,41,0,"27,0","53430,67308587748",,Baden-Württemberg
K1945,64,0,"32,0","73163,2169267002",,Baden-Württemberg
K1825,41,0,"44,0","36761,482581315344",,Baden-Württemberg
K1144,35,1,"33,0","42684,33163178136",,Nordrhein-Westfalen
K1395,67,1,"27,0","63881,03417512037",,Berlin
K1405,46,0,"59,0","68885,01956818235",,Nordrhein-Westfalen
K1438,63,0,"40,0","63083,28870522346",,Niedersachsen
K1313,30,1,"31,0","55256,4530467888",,Baden-Württemberg
K1241,32,0,"44,0","44873,24457091626",,Sachsen
K1242,66,0,"35,0","75200,53464199259",,Berlin
K1801,61,0,"37,0","59560,06177988721",,Nordrhein-Westfalen
K1590,66,1,"25,0","90643,13302647206",,Baden-Württemberg
K1349,68,0,"56,0","80553,39340496145",,Baden-Württemberg
K1449,39,1,"30,0","42543,25204627491",,Hessen
K1958,40,0,"34,0","33126,11045648739",,Baden-Württemberg
K1726,44,1,"33,0","62175,95917026976",,Berlin
K1758,49,0,"40,0","51900,08248154316",,Bayern
K1991,48,1,"21,0","59967,31328247114",,Hessen
K1215,36,0,"49,0","33884,96632098324",,Bayern
K1399,66,1,"37,0","67587,20954156849",,Nordrhein-Westfalen
K1552,31,1,"21,0","38844,33511086199",,Berlin
K1297,61,0,"25,0","66782,63479749944",,Nordrhein-Westfalen
K1787,40,0,"46,0","54891,4467910973",,Baden-Württemberg
K1643,49,0,"21,0","59388,51974583303",,Baden-Württemberg
K1924,62,0,"14,0","92892,64417436426",,Nordrhein-Westfalen
K1135,36,1,"46,0","36252,28123171101",,Hamburg
K1778,45,1,"37,0","54233,58902280894",,Niedersachsen
K1168,64,0,"34,0","84876,30328321343",,Baden-Württemberg
K1501,50,0,"44,0","60708,22607800983",,Hessen
K1982,45,0,"30,0","54500,5391380709",,Hamburg
K1246,31,1,"46,0","34101,76397312862",,Bayern
K1898,50,0,"46,0","55260,84751553851",,Brandenburg
K1340,52,1,"21,0","71014,31038644777",,Bayern
K1309,34,0,"46,0","53036,01128400799",,Bayern
K1725,67,1,"22,0","79728,1351072828",,Thüringen
K1128,31,1,"30,0","26637,981443696044",,Niedersachsen
K1303,38,1,"54,0","48808,07114016616",,Baden-Württemberg
K1947,46,0,"57,0","61964,35164914425",,Bayern
K1844,31,0,"49,0","27594,39325353453",,Bayern
K1225,68,1,"33,0","83333,56782765305",,Bayern
K1582,48,0,"45,0","54207,38981037917",,Nordrhein-Westfalen
K1942,40,0,"43,0","65585,39007498826",,Bayern
K1895,37,1,"38,0","39421,70983093856",,Berlin
K1467,69,1,"47,0","59163,82368118809",,Nordrhein-Westfalen
K1191,69,1,"21,0","91624,99730636716",,Niedersachsen
K1172,43,0,"45,0","67392,46312717693",,Nordrhein-Westfalen
K1455,52,0,"27,0","68557,64272708262",,Sachsen
K1315,37,0,"41,0","51083,82595578743",,Baden-Württemberg
K1764,51,0,"42,0","52205,09243795647",,Baden-Württemberg
K1553,68,0,"30,0","96580,0635011618",,Nordrhein-Westfalen
K1925,63,1,"50,0","80825,88321852202",,Berlin
K1465,63,1,"50,0","56999,12653841968",,Berlin
K1907,66,1,"35,0","64794,72727631589",,Berlin
K1385,50,0,"31,0","75601,52855545645",,Thüringen
K1690,35,1,"24,0","32469,35249836007",,Bayern
K1175,53,1,"37,0","51711,710837452105",,Baden-Württemberg
K1404,62,1,"44,0","75231,17792161655",,Baden-Württemberg
K1316,39,1,"37,0","37428,11758655559",,Niedersachsen
K1149,53,0,"49,0","75785,76768077022",,Bayern
K1513,39,1,"44,0","30485,188253072083",,Hamburg
K1551,60,1,"30,0","70853,5645440371",,Baden-Württemberg
K1531,41,1,"39,0","57516,90250700793",,Berlin
K1273,37,1,"28,0","66419,24826812533",,Thüringen
K1301,45,1,"27,0","62279,13133366568",,Baden-Württemberg
K1877,52,0,"51,0","70297,21359638925",,Nordrhein-Westfalen
K1177,37,1,"44,0","65034,99740020256",,Niedersachsen
K1527,36,0,"40,0","41668,05410643508",,Bayern
K1637,43,1,"23,0","49480,57828968764",,Baden-Württemberg
K1696,54,1,"36,0","56292,71084855829",,Hamburg
K1417,67,0,"35,0","78307,64635377112",,Hamburg
K1416,37,1,"34,0","43614,88262792917",,Bayern
K1994,49,1,"19,0","76602,7888395788",,Berlin
K1940,42,0,"25,0","58051,95657742942",,Baden-Württemberg
K1938,46,1,"44,0","51857,86016658747",,Nordrhein-Westfalen
K1710,68,0,"36,0","79291,161811527",,Nordrhein-Westfalen
K1872,70,0,"25,0","76105,63448490306",,Hessen
K1644,58,1,"37,0","68691,18132399686",,Nordrhein-Westfalen
K1462,43,0,"36,0","48849,87079024495",,Brandenburg
K1359,65,1,"41,0","92223,18914804253",,Baden-Württemberg
K1371,69,1,"28,0","85613,26171212798",,Hessen
K1171,47,1,"30,0","53430,97175074282",,Berlin
K1424,41,0,"34,0","34560,061178587945",,Baden-Württemberg
K1883,38,0,"46,0","46846,64631106874",,Baden-Württemberg
K1279,44,1,"33,0","53482,31220036104",,Bayern
K1598,35,1,"28,0","29395,6414486515",,Baden-Württemberg
K1320,40,1,"15,0","68282,04611732642",,Hamburg
K1414,45,0,"52,0","66573,48650260495",,Nordrhein-Westfalen
K1927,39,0,"45,0","44825,252298298255",,Baden-Württemberg
K1355,38,1,"46,0","40638,12381960798",,Baden-Württemberg
K1270,61,1,"42,0","75680,8569455791",,Sachsen
K1646,37,1,"19,0","39528,49075947741",,Bayern
K1730,32,1,"45,0","44270,051947941305",,Niedersachsen
K1493,70,0,"42,0","74005,80908584956",,Baden-Württemberg
K1181,34,1,"32,0","43060,345548235055",,Nordrhein-Westfalen
K1386,60,1,"36,0","71786,3601761889",,Bayern
K1817,48,0,"30,0","60260,01950308245",,Berlin
K1443,37,1,"36,0","45165,04142331776",,Bayern
K1432,68,1,"22,0","98083,36958703487",,Berlin
K1426,44,1,"35,0","43990,60139928602",,Brandenburg
K1650,48,1,"30,0","54965,091031366464",,Niedersachsen
K1695,53,1,"24,0","53797,07241160214",,Hessen
K1396,61,1,"45,0","75646,61434612492",,Bayern
K1570,67,0,"41,0","85750,07554566991",,Nordrhein-Westfalen
K1919,49,0,"36,0","49362,35856757959",,Thüringen
K1547,40,1,"5,0","39581,24530431099",,Niedersachsen
K1775,53,0,"27,0","72005,35624913589",,Nordrhein-Westfalen
K1567,50,1,"35,0","64799,99968190091",,Thüringen
K1391,54,1,"23,0","73773,47238829928",,Berlin
K1314,49,1,"29,0","51990,8572650111",,Berlin
K1774,40,0,"35,0","62840,37452322088",,Nordrhein-Westfalen
K1332,30,1,"36,0","46686,48822885003",,Sachsen
K1954,35,0,"34,0","42664,92693348081",,Nordrhein-Westfalen
K1617,65,1,"12,0","78027,33356866369",,Niedersachsen
K1632,54,0,"26,0","54771,81984576158",,Baden-Württemberg
K1981,61,1,"62,0","79526,72258325989",,Baden-Württemberg
K1201,36,1,"52,0","32281,857537934036",,Hessen
K1397,32,0,"42,0","31010,60371272385",,Baden-Württemberg
K1428,68,0,"21,0","78362,67406137298",,Baden-Württemberg
K1841,51,0,"28,0","56457,4891364143",,Nordrhein-Westfalen
K1634,68,0,"20,0","74860,98577194301",,Bayern
K1323,54,0,"29,0","68635,79438556149",,Baden-Württemberg
K1380,61,0,"45,0","61246,32697749902",,Nordrhein-Westfalen
K1183,63,0,"39,0","69114,66674485385",,Hamburg
K1890,58,0,"25,0","76153,05437383783",,Bayern
K1709,41,1,"40,0","39145,70180758025",,Hessen
K1901,45,1,"17,0","34526,57020159587",,Baden-Württemberg
K1244,47,1,"37,0","61173,93565537098",,Niedersachsen
K1683,35,1,"47,0","40070,02223199869",,Bayern
K1599,47,1,"21,0","61411,10701386299",,Bayern
K1464,66,0,"42,0","76131,40623392163",,Sachsen
K1170,57,1,"29,0","52580,65881183184",,Bayern
K1586,31,1,"32,0","59163,82368118809",,Baden-Württemberg
K1882,63,0,"43,0","74054,70619267496",,Nordrhein-Westfalen
K1704,30,1,"23,0","47051,43409867171",,Baden-Württemberg
K1935,57,0,"44,0","75169,08296945898",,Thüringen
K1411,49,0,"44,0","53203,21029404359",,Hessen
K1336,64,1,"55,0","74726,84924898707",,Bayern
K1950,37,0,"38,0","60309,95951774383",,Baden-Württemberg
K1154,40,1,"39,0","56212,03314278404",,Bayern
K1757,50,1,"36,0","46631,75790296047",,Bayern
K1959,49,0,"25,0","56491,65443727993",,Baden-Württemberg
K1447,51,0,"34,0","46713,49462194787",,Berlin
K1699,37,1,"29,0","37001,8597858101",,Bayern
K1990,34,1,"34,0","46611,89681382488",,Berlin
K1521,36,1,"55,0","39625,21727597255",,Bayern
K1318,70,1,"60,0","97897,0505433718",,Berlin
K1138,43,1,"32,0","68343,42995828904",,Nordrhein-Westfalen
K1136,59,1,"32,0","68648,91021070804",,Nordrhein-Westfalen
K1773,34,0,"36,0","42021,351206703584",,Brandenburg
K1689,66,1,"26,0","78363,1815844051",,Baden-Württemberg
K1619,55,1,"31,0","67416,14051817694",,Nordrhein-Westfalen
K1793,57,0,"41,0","75132,69871427603",,Bayern
K1214,52,1,"48,0","54277,20247138504",,Nordrhein-Westfalen
K1182,62,0,"33,0","83975,47424607084",,Bayern
K1716,42,1,"44,0","60427,7317067945",,Sachsen
K1748,67,1,"59,0","87075,0424976642",,Niedersachsen
K1187,55,1,"41,0","76311,86352250354",,Baden-Württemberg
K1623,31,1,"3,0","38298,53365217667",,Nordrhein-Westfalen
K1762,33,0,"26,0","35653,84321707804",,Nordrhein-Westfalen
K1401,37,0,"34,0","51507,44213419635",,Niedersachsen
K1612,43,1,"31,0","58161,76456569998",,Nordrhein-Westfalen
K1913,30,1,"35,0","38642,9176274666",,Bayern
K1480,46,0,"31,0","56617,21612666908",,Hessen
K1110,37,1,"36,0","38266,32199296525",,Baden-Württemberg
K1159,41,1,"48,0","52447,560235608296",,Sachsen
K1503,48,0,"50,0","63015,20260611034",,Berlin
K1562,45,1,"37,0","44514,71192462543",,Berlin
K1626,33,1,"36,0","20924,68796076063",,Baden-Württemberg
K1468,62,1,"36,0","77172,3477368733",,Baden-Württemberg
K1202,67,0,"40,0","68054,56279480796",,Niedersachsen
K1522,46,1,"32,0","57346,43603357197",,Hamburg
K1677,52,1,"41,0","74487,88940711174",,Bayern
K1957,46,1,"32,0","54308,48613322938",,Brandenburg
K1538,48,1,"41,0","68669,40274374136",,Niedersachsen
K1878,54,1,"13,0","70603,6396479521",,Sachsen
K1130,44,1,"45,0","46191,87896569637",,Baden-Württemberg
K1189,63,0,"43,0","66297,52548713186",,Niedersachsen
K1115,47,1,"38,0","46132,94535081172",,Nordrhein-Westfalen
K1436,35,0,"24,0","55240,05100480306",,Nordrhein-Westfalen
K1838,66,0,"41,0","78220,57773084576",,Sachsen
K1487,52,1,"25,0","67495,80152171961",,Nordrhein-Westfalen
K1809,36,1,"30,0","48519,26595769286",,Baden-Württemberg
K1918,33,0,"18,0","44999,01911189909",,Baden-Württemberg
K1223,54,0,"24,0","49679,673812958754",,Sachsen
K1641,45,1,"50,0","51504,42714273189",,Baden-Württemberg
K1466,40,1,"31,0","57367,42919749243",,Baden-Württemberg
K1134,61,0,"24,0","80750,62261107466",,Sachsen
K1160,57,0,"45,0","63456,62655121073",,Bayern
K1970,52,1,"25,0","45802,02820555963",,Baden-Württemberg
K1700,53,0,"20,0","58520,52013258997",,Brandenburg
K1344,51,0,"17,0","56254,19697173916",,Berlin
K1826,68,0,"45,0","77479,77370987926",,Baden-Württemberg
K1186,68,1,"19,0","80288,19633710348",,Brandenburg
K1364,42,0,"30,0","37936,97963079064",,Sachsen
K1591,57,1,"47,0","50221,96278036853",,Bayern
K1821,38,1,"43,0","48379,32276693023",,Thüringen
K1905,69,1,"37,0","98029,0012254466",,Bayern
K1886,66,0,"34,0","82388,15906332547",,Hessen
K1647,53,0,"25,0","69200,65406495638",,Berlin
