Alter_Besucher,Einkommen_Besucher,Geschlecht_Besucher,Zeit_Besucher,KundeNr,Alter_Kunden,Einkommen_Kunden,Preis,Geschlecht_Kunden,Zeit_Kunden,Niederlassung
30.0,39919.0953348874,weiblich,29.0,K1814,,,,,,Bayern
41.0,53430.67308587748,weiblich,27.0,K1544,,,,,,Baden-Württemberg
64.0,73163.2169267002,weiblich,32.0,K1945,,,,,,Baden-Württemberg
41.0,36761.482581315344,weiblich,44.0,K1825,,,,,,Baden-Württemberg
35.0,42684.33163178136,männlich,33.0,K1144,,,,,,Nordrhein-Westfalen
67.0,63881.03417512037,männlich,27.0,K1395,,,,,,Berlin
46.0,68885.01956818235,weiblich,59.0,K1405,,,,,,Nordrhein-Westfalen
63.0,63083.28870522346,weiblich,40.0,K1438,,,,,,Niedersachsen
30.0,55256.4530467888,männlich,31.0,K1313,,,,,,Baden-Württemberg
32.0,44873.24457091626,weiblich,44.0,K1241,,,,,,Sachsen
66.0,75200.53464199259,weiblich,35.0,K1242,,,,,,Berlin
61.0,59560.06177988721,weiblich,37.0,K1801,,,,,,Nordrhein-Westfalen
66.0,90643.13302647206,männlich,25.0,K1590,,,,,,Baden-Württemberg
68.0,80553.39340496145,weiblich,56.0,K1349,,,,,,Baden-Württemberg
39.0,42543.25204627491,männlich,30.0,K1449,,,,,,Hessen
40.0,33126.11045648739,weiblich,34.0,K1958,,,,,,Baden-Württemberg
44.0,62175.95917026976,männlich,33.0,K1726,,,,,,Berlin
49.0,51900.08248154316,weiblich,40.0,K1758,,,,,,Bayern
48.0,59967.31328247114,männlich,21.0,K1991,,,,,,Hessen
36.0,33884.96632098324,weiblich,49.0,K1215,,,,,,Bayern
66.0,67587.20954156849,männlich,37.0,K1399,,,,,,Nordrhein-Westfalen
31.0,38844.33511086199,männlich,21.0,K1552,,,,,,Berlin
61.0,66782.63479749944,weiblich,25.0,K1297,,,,,,Nordrhein-Westfalen
40.0,54891.4467910973,weiblich,46.0,K1787,,,,,,Baden-Württemberg
49.0,59388.51974583303,weiblich,21.0,K1643,,,,,,Baden-Württemberg
62.0,92892.64417436426,weiblich,14.0,K1924,,,,,,Nordrhein-Westfalen
36.0,36252.28123171101,männlich,46.0,K1135,,,,,,Hamburg
45.0,54233.58902280894,männlich,37.0,K1778,,,,,,Niedersachsen
64.0,84876.30328321343,weiblich,34.0,K1168,,,,,,Baden-Württemberg
50.0,60708.22607800983,weiblich,44.0,K1501,,,,,,Hessen
45.0,54500.5391380709,weiblich,30.0,K1982,,,,,,Hamburg
31.0,34101.76397312862,männlich,46.0,K1246,,,,,,Bayern
50.0,55260.84751553851,weiblich,46.0,K1898,,,,,,Brandenburg
52.0,71014.31038644777,männlich,21.0,K1340,,,,,,Bayern
34.0,53036.01128400799,weiblich,46.0,K1309,,,,,,Bayern
67.0,79728.1351072828,männlich,22.0,K1725,,,,,,Thüringen
31.0,26637.981443696044,männlich,30.0,K1128,,,,,,Niedersachsen
38.0,48808.07114016616,männlich,54.0,K1303,,,,,,Baden-Württemberg
46.0,61964.35164914425,weiblich,57.0,K1947,,,,,,Bayern
31.0,27594.39325353453,weiblich,49.0,K1844,,,,,,Bayern
68.0,83333.56782765305,männlich,33.0,K1225,,,,,,Bayern
48.0,54207.38981037917,weiblich,45.0,K1582,,,,,,Nordrhein-Westfalen
40.0,65585.39007498826,weiblich,43.0,K1942,,,,,,Bayern
37.0,39421.70983093856,männlich,38.0,K1895,,,,,,Berlin
69.0,59163.82368118809,männlich,47.0,K1467,,,,,,Nordrhein-Westfalen
69.0,91624.99730636716,männlich,21.0,K1191,,,,,,Niedersachsen
43.0,67392.46312717693,weiblich,45.0,K1172,,,,,,Nordrhein-Westfalen
